"Board level health discussions","Program champions","Performance objectives linked to health","Corporate responsibility strategy","Training in health","Wellbeing linked to org success","Program branding","Health feedback","Health importance education","Publish health info","Worktime participation","Promotion materials","Wellness fairs","Incentives","Outcomes-based incentives","Training","Screening","Disease.management","EAP","Advice.line","Occ.health","Onsite.clinic","Smoking.info","Smoking.Program","Other.smoking","Alch.info","Counsel","Other.Alch","Onsite.gym","Unpaid.fitness","Paid.fitness","Showers","Other.exercise","Eat.info","Eat.options.canteen","Eat.options.machines","Fruit.and.veg","Dietician","Stress.prog","Stress.info","Work.life.prog","Stress.training","Participation","Percent female","<25","25-35","35-45","45-55","55-65","65+","<20k","20-29k","30-39k","40-59k","60k+","compex"
1,1,1,1,4,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.944055944055944,50,0.111888111888112,0.440559440559441,0.258741258741259,0.153846153846154,0.027972027972028,0.00699300699300699,0.195804195804196,0.384615384615385,0.125874125874126,0.132867132867133,0.146853146853147,1
1,0,0,1,2,4,0,0,5,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0.47148288973384,14,0.0494296577946768,0.203422053231939,0.262357414448669,0.321292775665399,0.153992395437262,0.00950570342205323,0.0532319391634981,0.192015209125475,0.256653992395437,0.35361216730038,0.138783269961977,0
1,0,0,1,3,4,1,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.814159292035398,16.3,0.146017699115044,0.411504424778761,0.243362831858407,0.154867256637168,0.0398230088495575,0.00442477876106195,0.00442477876106195,0.079646017699115,0.300884955752212,0.384955752212389,0.225663716814159,0
1,0,0,1,4,5,1,0,5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.807531380753138,38,0.0585774058577406,0.292887029288703,0.359832635983264,0.230125523012552,0.0585774058577406,0,0.0376569037656904,0.112970711297071,0.096234309623431,0.246861924686192,0.493723849372385,0
0,1,0,1,2,5,1,1,5,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.762376237623762,5,0.099009900990099,0.237623762376238,0.247524752475248,0.297029702970297,0.118811881188119,0,0.108910891089109,0.366336633663366,0.237623762376238,0.237623762376238,0.0396039603960396,0
1,0,1,1,4,5,1,1,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0.521739130434783,26.7,0.104347826086957,0.278260869565217,0.321739130434783,0.156521739130435,0.121739130434783,0.0173913043478261,0.11304347826087,0.408695652173913,0.226086956521739,0.173913043478261,0.0782608695652174,0
1,0,0,1,4,5,0,1,4,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0.662087912087912,35,0.0521978021978022,0.186813186813187,0.269230769230769,0.354395604395604,0.137362637362637,0,0.0412087912087912,0.313186813186813,0.324175824175824,0.277472527472527,0.043956043956044,0
0,1,0,1,2,3,1,1,5,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.595238095238095,49.7,0.129251700680272,0.420068027210884,0.260204081632653,0.139455782312925,0.0476190476190476,0.00340136054421769,0.384353741496599,0.333333333333333,0.122448979591837,0.105442176870748,0.0459183673469388,0
1,1,0,0,5,5,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0.822072072072072,42,0.0292792792792793,0.277027027027027,0.326576576576577,0.265765765765766,0.0900900900900901,0.0112612612612613,0.103603603603604,0.423423423423423,0.234234234234234,0.191441441441441,0.0427927927927928,0
1,0,0,1,4,5,1,1,4,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.390588235294118,NA,0.0729411764705882,0.251764705882353,0.352941176470588,0.244705882352941,0.0729411764705882,0.00470588235294118,0.228235294117647,0.383529411764706,0.150588235294118,0.164705882352941,0.0705882352941176,0
1,1,0,1,4,5,1,1,5,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.747663551401869,51,0.0747663551401869,0.574766355140187,0.271028037383178,0.0700934579439252,0.00934579439252336,0,0.0280373831775701,0.224299065420561,0.336448598130841,0.224299065420561,0.186915887850467,0
0,1,0,1,4,4,1,1,5,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0.607594936708861,58,0.168776371308017,0.443037974683544,0.215189873417722,0.126582278481013,0.0421940928270042,0.00421940928270042,0.371308016877637,0.253164556962025,0.172995780590717,0.113924050632911,0.0886075949367089,0
1,1,0,0,4,5,1,1,4,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0.694915254237288,61,0.0903954802259887,0.23728813559322,0.293785310734463,0.265536723163842,0.112994350282486,0,0.338983050847458,0.355932203389831,0.265536723163842,0.0338983050847458,0.00564971751412429,0
1,1,1,1,5,5,1,0,5,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.780645161290323,40,0.225806451612903,0.561290322580645,0.187096774193548,0.0193548387096774,0.00645161290322581,0,0.0258064516129032,0.303225806451613,0.193548387096774,0.264516129032258,0.212903225806452,0
1,0,0,1,3,4,1,0,5,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0.548797736916549,52.1,0.121640735502122,0.407355021216407,0.282885431400283,0.142857142857143,0.0381895332390382,0.00707213578500707,0.0721357850070721,0.322489391796322,0.222065063649222,0.217821782178218,0.164073550212164,0
1,1,0,1,3,5,1,1,5,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0.652173913043478,49,0.0861204013377926,0.380434782608696,0.281772575250836,0.20066889632107,0.0501672240802676,0.000836120401337793,0.169732441471572,0.306020066889632,0.159698996655518,0.192307692307692,0.167224080267559,0
1,0,0,1,NA,4,1,1,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.780392156862745,49,0.0823529411764706,0.337254901960784,0.305882352941176,0.215686274509804,0.0549019607843137,0,0.0235294117647059,0.164705882352941,0.152941176470588,0.341176470588235,0.294117647058824,0
1,1,0,1,4,5,1,1,4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.483660130718954,18,0.0588235294117647,0.169934640522876,0.320261437908497,0.34640522875817,0.104575163398693,0,0.0326797385620915,0.42483660130719,0.313725490196078,0.183006535947712,0.0392156862745098,0
1,1,0,1,4,4,1,1,5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.830551989730424,34,0.114249037227214,0.419768934531451,0.34017971758665,0.111681643132221,0.0128369704749679,0,0.00770218228498074,0.105263157894737,0.141206675224647,0.215661103979461,0.505776636713736,0
